anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Gintama,9.95,2019,2,7,2006,8.94,https://myanimelist.net/anime/918/Gintama
Steins;Gate,9.85,2020,2,4,2011,9.07,https://myanimelist.net/anime/9253/Steins_Gate?q=steins
Monogatari Series,9.73,2020,1.5,8,2009,8.33,https://myanimelist.net/anime/5081/Bakemonogatari
Baccano!,9.66,2020,1,8,2007,8.36,https://myanimelist.net/anime/2251/Baccano?q=baccano
March Comes in Like a Lion,9.66,2020,1,8,2016,8.38,https://myanimelist.net/anime/31646/3-gatsu_no_Lion?q=march%20
Made in Abyss,9.62,2020,2,6,2017,8.65,https://myanimelist.net/anime/34599/Made_in_Abyss?q=made%20in%20abyss
The Tatami Galaxy,9.54,2021,2,8,2010,8.56,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
Monster,9.52,2022,1,8,2004,8.88,https://myanimelist.net/anime/19/Monster
Violet Evergarden,9.47,2020,4,4,2018,8.67,https://myanimelist.net/anime/33352/Violet_Evergarden
Mob Psycho 100,9.45,2019,2,2,2016,8.49,https://myanimelist.net/anime/32182/Mob_Psycho_100?q=mob%20psycho
Hunter x Hunter,9.40,2021,1,3,2011,9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Fullmetal Alchemist: Brotherhood,9.39,2021,1,2,2009,9.09,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
A Silent Voice,9.38,2020,2,3,2016,8.93,https://myanimelist.net/anime/28851/Koe_no_Katachi
Fruits Basket,9.34,2021,1,7,2019,8.21,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season
Shouwa Genroku Rakugo Shinjuu,9.30,2020,1,8,2016,8.56,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu?q=showa
Vinland Saga *,9.30,2020,1,5,2019,8.75,https://myanimelist.net/anime/37521/Vinland_Saga?q=vinland
Attack on Titan *,9.25,2020,3,2,2013,8.54,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Kaguya-sama: Love is War *,9.24,2020,1,3,2019,8.41,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Cowboy Bebop,9.20,2020,1,5,1998,8.75,https://myanimelist.net/anime/1/Cowboy_Bebop
Odd Taxi,9.17,2021,1,7,2021,8.67,https://myanimelist.net/anime/46102/Odd_Taxi?q=odd%20taxi&cat=anime
Mushoku Tensei: Jobless Reincarnation,9.13,2021,2,5,2021,8.37,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
Re:Zero kara Hajimeru Isekai Seikatsu,9.10,2020,2,5,2016,8.23,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu?q=Re
Mahou Shoujo Madoka★Magica,9.10,2020,1,8,2011,8.36,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka%E2%98%85Magica
Fate Series,9.08,2020,1,7,2011,8.27,https://myanimelist.net/anime/10087/Fate_Zero
Land of the Lustrous,9.06,2020,1,8,2017,8.39,https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV
Chainsaw Man,9.03,2022,1,4,2022,8.52,https://myanimelist.net/anime/44511/Chainsaw_Man
Code Geass,9.01,2021,1,3,2007,8.70,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
